country,year,avg_temperature
Country_6,1913,20.41
Country_6,1914,19.95
Country_6,1915,20.2
Country_6,1916,20.22
Country_6,1917,20.29
Country_6,1918,20.61
Country_6,1919,20.79
Country_6,1920,19.85
Country_6,1921,20.66
Country_6,1922,20.08
Country_6,1923,20.17
Country_6,1924,20.5
Country_6,1925,20.02
Country_6,1926,20.23
Country_6,1927,20.79
Country_6,1928,20.1
Country_6,1929,20.66
Country_6,1930,19.78
Country_6,1931,20.7
Country_6,1932,20.8
Country_6,1933,20.7
Country_6,1934,20.73
Country_6,1935,20.65
Country_6,1936,20.86
Country_6,1937,20.81
Country_6,1938,21.04
Country_6,1939,20.84
Country_6,1940,20.53
Country_6,1941,21.02
Country_6,1942,20.49
Country_6,1943,21.18
Country_6,1944,21.09
Country_6,1945,20.86
Country_6,1946,20.98
Country_6,1947,21.08
Country_6,1948,20.9
Country_6,1949,20.97
Country_6,1950,20.69
Country_6,1951,21.16
Country_6,1952,20.56
Country_6,1953,21.34
Country_6,1954,21.19
Country_6,1955,20.95
Country_6,1956,20.31
Country_6,1957,20.66
Country_6,1958,21.19
Country_6,1959,20.81
Country_6,1960,20.56
Country_6,1961,20.98
Country_6,1962,20.71
Country_6,1963,21.01
Country_6,1964,20.96
Country_6,1965,20.93
Country_6,1966,21.11
Country_6,1967,20.93
Country_6,1968,20.68
Country_6,1969,21.11
Country_6,1970,20.95
Country_6,1971,21.23
Country_6,1972,20.8
Country_6,1973,21.51
Country_6,1974,21.53
Country_6,1975,21.32
Country_6,1976,21.18
Country_6,1977,20.78
Country_6,1978,21.45
Country_6,1979,21.25
Country_6,1980,21.18
Country_6,1981,21.3
Country_6,1982,21.19
Country_6,1983,21.53
Country_6,1984,21.35
Country_6,1985,21.69
Country_6,1986,21.42
Country_6,1987,21.62
Country_6,1988,21.64
Country_6,1989,21.53
Country_6,1990,21.39
Country_6,1991,21.17
Country_6,1992,21.33
Country_6,1993,21.51
Country_6,1994,21.37
Country_6,1995,21.39
Country_6,1996,21.72
Country_6,1997,21.23
Country_6,1998,21.18
Country_6,1999,21.9
Country_6,2000,21.54
Country_6,2001,21.63
Country_6,2002,21.77
Country_6,2003,21.76
Country_6,2004,21.55
Country_6,2005,22.21
Country_6,2006,21.64
Country_6,2007,21.9
Country_6,2008,22.04
Country_6,2009,21.05
Country_6,2010,20.97
Country_6,2011,22.44
Country_6,2012,21.52
Country_6,2013,21.42
Country_6,2014,21.73
Country_6,2015,21.61
Country_6,2016,21.94
Country_6,2017,21.97
Country_6,2018,21.49
Country_6,2019,22.2
Country_6,2020,21.9
Country_6,2021,22.21
Country_6,2022,21.76
Country_6,2023,22.36
Country_7,1900,16.12
Country_7,1901,15.89
Country_7,1902,15.7
Country_7,1903,15.76
Country_7,1904,15.3
Country_7,1905,16.12
Country_7,1906,15.72
Country_7,1907,15.76
Country_7,1908,15.94
Country_7,1909,16.06
Country_7,1910,15.44
Country_7,1911,15.45
Country_7,1912,16.02
Country_7,1913,15.79
Country_7,1914,16.14
Country_7,1915,15.99
Country_7,1916,15.86
Country_7,1917,16.17
Country_7,1918,15.55
Country_7,1919,16.06
Country_7,1920,16.1
Country_7,1921,16.33
Country_7,1922,15.82
Country_7,1923,15.95
Country_7,1924,16.15
Country_7,1925,16.16
Country_7,1926,16.33
Country_7,1927,16.09
Country_7,1928,16.37
Country_7,1929,16.22
Country_7,1930,16.44
Country_7,1931,16.66
Country_7,1932,16.56
Country_7,1933,15.94
Country_7,1934,16.31
Country_7,1935,16.28
Country_7,1936,16.46
Country_7,1937,16.62
Country_7,1938,16.51
Country_7,1939,16.12
Country_7,1940,16.52
Country_7,1941,16.46
Country_7,1942,15.86
Country_7,1943,16.78
Country_7,1944,16.4
Country_7,1945,16.41
Country_7,1946,15.95
Country_7,1947,16.45
Country_7,1948,15.79
Country_7,1949,16.28
Country_7,1950,16.44
Country_7,1951,16.11
Country_7,1952,16.45
Country_7,1953,16.32
Country_7,1954,16.2
Country_7,1955,16.33
Country_7,1956,15.92
Country_7,1957,16.13
Country_7,1958,16.87
Country_7,1959,16.31
Country_7,1960,15.91
Country_7,1961,16.59
Country_7,1962,16.09
Country_7,1963,16.28
Country_7,1964,16.19
Country_7,1965,16.81
Country_7,1966,16.95
Country_7,1967,16.85
Country_7,1968,15.61
Country_7,1969,16.51
Country_7,1970,16.49
Country_7,1971,17.14
Country_7,1972,16.04
Country_7,1973,16.35
Country_7,1974,16.83
Country_7,1975,16.78
Country_7,1976,16.76
Country_7,1977,16.89
Country_7,1978,16.65
Country_7,1979,17.14
Country_7,1980,16.57
Country_7,1981,16.6
Country_7,1982,17.3
Country_7,1983,16.68
Country_7,1984,16.67
Country_7,1985,16.93
Country_7,1986,16.89
Country_7,1987,16.98
Country_7,1988,16.98
Country_7,1989,16.58
Country_7,1990,17.04
Country_7,1991,17.51
Country_7,1992,17.43
Country_7,1993,16.96
Country_7,1994,17.21
Country_7,1995,16.88
Country_7,1996,17.33
Country_7,1997,16.97
Country_7,1998,16.92
Country_7,1999,16.73
Country_7,2000,17.71
Country_7,2001,17.56
Country_7,2002,17.04
Country_7,2003,16.95
Country_7,2004,17.22
Country_7,2005,17.14
Country_7,2006,17.21
Country_7,2007,16.94
Country_7,2008,17.78
Country_7,2009,16.93
Country_7,2010,16.93
Country_7,2011,17.43
Country_7,2012,16.74
Country_7,2013,17.02
Country_7,2014,16.87
Country_7,2015,17.17
Country_7,2016,17.67
Country_7,2017,16.49
Country_7,2018,17.5
Country_7,2019,17.26
Country_7,2020,17.38
Country_7,2021,17.11
Country_7,2022,17.38
Country_7,2023,17.48
Country_8,1900,18.39
Country_8,1901,18.06
Country_8,1902,18.81
Country_8,1903,18.37
Country_8,1904,18.42
Country_8,1905,18.18
Country_8,1906,18.88
Country_8,1907,18.57
Country_8,1908,18.44
Country_8,1909,18.94
Country_8,1910,18.48
Country_8,1911,18.47
Country_8,1912,18.38
Country_8,1913,18.82
Country_8,1914,17.92
Country_8,1915,18.61
Country_8,1916,18.81
Country_8,1917,18.69
Country_8,1918,19.02
Country_8,1919,18.65
Country_8,1920,18.7
Country_8,1921,18.49
Country_8,1922,18.71
Country_8,1923,18.38
Country_8,1924,18.47
Country_8,1925,18.53
Country_8,1926,18.08
Country_8,1927,18.54
Country_8,1928,18.16
Country_8,1929,18.83
Country_8,1930,18.85
Country_8,1931,18.09
Country_8,1932,18.87
Country_8,1933,18.54
Country_8,1934,19.02
Country_8,1935,18.67
Country_8,1936,18.43
Country_8,1937,18.91
Country_8,1938,18.69
Country_8,1939,18.32
Country_8,1940,18.83
Country_8,1941,19.06
Country_8,1942,18.59
Country_8,1943,18.75
Country_8,1944,19.21
Country_8,1945,18.84
Country_8,1946,18.59
Country_8,1947,19.51
Country_8,1948,19.66
Country_8,1949,18.43
Country_8,1950,18.9
Country_8,1951,19.19
Country_8,1952,18.75
Country_8,1953,18.94
Country_8,1954,19.57
Country_8,1955,19.63
Country_8,1956,18.78
Country_8,1957,19.33
Country_8,1958,18.88
Country_8,1959,19.3
Country_8,1960,18.84
Country_8,1961,18.91
Country_8,1962,19.25
Country_8,1963,19.21
Country_8,1964,19.17
Country_8,1965,19.55
Country_8,1966,19.44
Country_8,1967,19.34
Country_8,1968,19.21
Country_8,1969,18.92
Country_8,1970,19.38
Country_8,1971,19.13
Country_8,1972,19.07
Country_8,1973,19.26
Country_8,1974,18.72
Country_8,1975,19.21
Country_8,1976,19.83
Country_8,1977,19.72
Country_8,1978,19.08
Country_8,1979,19.54
Country_8,1980,19.62
Country_8,1981,19.91
Country_8,1982,19.38
Country_8,1983,19.31
Country_8,1984,19.58
Country_8,1985,19.15
Country_8,1986,19.82
Country_8,1987,19.95
Country_8,1988,19.17
Country_8,1989,19.84
Country_8,1990,19.3
Country_8,1991,19.45
Country_8,1992,19.48
Country_8,1993,19.76
Country_8,1994,19.81
Country_8,1995,19.48
Country_8,1996,19.16
Country_8,1997,19.48
Country_8,1998,19.71
Country_8,1999,20.19
Country_8,2000,19.91
Country_8,2001,19.57
Country_8,2002,20.12
Country_8,2003,19.57
Country_8,2004,19.8
Country_8,2005,19.89
Country_8,2006,20.53
Country_8,2007,20.13
Country_8,2008,20.01
Country_8,2009,20.04
Country_8,2010,19.71
Country_8,2011,20.38
Country_8,2012,19.55
Country_8,2013,20.32
Country_8,2014,20.1
Country_8,2015,20.51
Country_8,2016,20.17
Country_8,2017,20.18
Country_8,2018,20.0
Country_8,2019,19.88
Country_8,2020,19.18
Country_8,2021,20.13
Country_8,2022,20.6
Country_8,2023,20.13
Country_9,1900,23.7
Country_9,1901,24.24
Country_9,1902,23.98
Country_9,1903,24.77
Country_9,1904,24.28
Country_9,1905,24.6
Country_9,1906,24.47
Country_9,1907,25.09
Country_9,1908,24.46
Country_9,1909,24.5
Country_9,1910,24.16
Country_9,1911,24.83
Country_9,1912,24.47
Country_9,1913,24.27
Country_9,1914,23.74
Country_9,1915,24.42
Country_9,1916,24.13
Country_9,1917,24.09
Country_9,1918,24.8
Country_9,1919,24.55
Country_9,1920,24.07
Country_9,1921,24.32
Country_9,1922,24.7
Country_9,1923,24.78
Country_9,1924,24.43
Country_9,1925,24.12
Country_9,1926,24.58
Country_9,1927,24.32
Country_9,1928,24.34
Country_9,1929,25.26
Country_9,1930,24.63
Country_9,1931,24.71
Country_9,1932,25.14
Country_9,1933,24.93
Country_9,1934,24.51
Country_9,1935,24.16
Country_9,1936,24.51
Country_9,1937,24.77
Country_9,1938,25.16
Country_9,1939,25.07
Country_9,1940,24.93
Country_9,1941,24.7
Country_9,1942,24.68
Country_9,1943,25.18
Country_9,1944,25.09
Country_9,1945,24.36
Country_9,1946,25.18
Country_9,1947,25.21
Country_9,1948,25.02
Country_9,1949,25.41
Country_9,1950,24.73
Country_9,1951,25.18
Country_9,1952,25.0
Country_9,1953,25.06
Country_9,1954,24.55
Country_9,1955,25.0
Country_9,1956,24.92
Country_9,1957,25.21
Country_9,1958,24.72
Country_9,1959,25.74
Country_9,1960,25.05
Country_9,1961,25.28
Country_9,1962,25.24
Country_9,1963,25.38
Country_9,1964,25.09
Country_9,1965,25.05
Country_9,1966,25.21
Country_9,1967,25.15
Country_9,1968,25.35
Country_9,1969,25.13
Country_9,1970,25.26
Country_9,1971,25.0
Country_9,1972,24.96
Country_9,1973,25.3
Country_9,1974,24.48
Country_9,1975,26.01
Country_9,1976,24.86
Country_9,1977,25.52
Country_9,1978,24.86
Country_9,1979,25.42
Country_9,1980,24.97
Country_9,1981,25.56
Country_9,1982,25.43
Country_9,1983,24.99
Country_9,1984,25.42
Country_9,1985,24.87
Country_9,1986,25.42
Country_9,1987,25.49
Country_9,1988,25.6
Country_9,1989,25.36
Country_9,1990,25.22
Country_9,1991,25.7
Country_9,1992,25.56
Country_9,1993,25.49
Country_9,1994,25.48
Country_9,1995,26.01
Country_9,1996,26.1
Country_9,1997,25.71
Country_9,1998,25.94
Country_9,1999,25.83
Country_9,2000,25.93
Country_9,2001,25.73
Country_9,2002,25.68
Country_9,2003,25.38
Country_9,2004,26.14
Country_9,2005,25.91
Country_9,2006,25.4
Country_9,2007,25.68
Country_9,2008,25.73
Country_9,2009,25.41
Country_9,2010,25.69
Country_9,2011,26.0
Country_9,2012,25.54
Country_9,2013,26.06
Country_9,2014,25.74
Country_9,2015,25.85
Country_9,2016,26.13
Country_9,2017,26.24
Country_9,2018,25.89
Country_9,2019,26.33
Country_9,2020,25.92
Country_9,2021,26.06
Country_9,2022,25.85
Country_9,2023,26.29
Country_10,1900,16.92
Country_10,1901,16.63
Country_10,1902,17.04
Country_10,1903,16.45
Country_10,1904,16.74
Country_10,1905,16.65
Country_10,1906,16.15
Country_10,1907,16.77
Country_10,1908,17.18
Country_10,1909,16.16
Country_10,1910,16.94
Country_10,1911,16.72
Country_10,1912,16.95
Country_10,1913,16.82
Country_10,1914,16.61
Country_10,1915,17.1
Country_10,1916,16.62
Country_10,1917,16.89
Country_10,1918,16.93
Country_10,1919,16.96
Country_10,1920,16.78
Country_10,1921,16.88
Country_10,1922,16.85
Country_10,1923,16.96
Country_10,1924,17.47
Country_10,1925,16.55
Country_10,1926,17.0
Country_10,1927,17.34
Country_10,1928,17.33
Country_10,1929,16.6
Country_10,1930,17.12
Country_10,1931,16.74
Country_10,1932,16.39
Country_10,1933,17.01
Country_10,1934,17.51
Country_10,1935,17.02
Country_10,1936,16.64
Country_10,1937,16.87
Country_10,1938,17.08
Country_10,1939,17.15
Country_10,1940,16.96
Country_10,1941,17.09
Country_10,1942,16.58
Country_10,1943,17.05
Country_10,1944,17.64
Country_10,1945,16.76
Country_10,1946,16.95
Country_10,1947,17.14
