country,year,co2_emission
Country_2,1902,777.13
Country_2,1903,778.95
Country_2,1904,783.34
Country_2,1905,786.17
Country_2,1906,783.12
Country_2,1907,777.66
Country_2,1908,780.15
Country_2,1909,782.55
Country_2,1910,781.0
Country_2,1911,772.14
Country_2,1912,791.88
Country_2,1913,785.21
Country_2,1914,783.01
Country_2,1915,784.67
Country_2,1916,780.42
Country_2,1917,788.06
Country_2,1918,784.04
Country_2,1919,786.35
Country_2,1920,779.27
Country_2,1921,793.2
Country_2,1922,780.4
Country_2,1923,779.33
Country_2,1924,785.01
Country_2,1925,779.12
Country_2,1926,786.16
Country_2,1927,787.41
Country_2,1928,780.34
Country_2,1929,774.63
Country_2,1930,784.95
Country_2,1931,775.35
Country_2,1932,780.39
Country_2,1933,781.73
Country_2,1934,787.83
Country_2,1935,790.86
Country_2,1936,786.54
Country_2,1937,780.63
Country_2,1938,789.49
Country_2,1939,781.59
Country_2,1940,785.63
Country_2,1941,794.03
Country_2,1942,789.66
Country_2,1943,778.61
Country_2,1944,783.75
Country_2,1945,782.56
Country_2,1946,784.83
Country_2,1947,789.37
Country_2,1948,786.82
Country_2,1949,784.89
Country_2,1950,806.83
Country_2,1951,837.67
Country_2,1952,866.31
Country_2,1953,904.27
Country_2,1954,912.16
Country_2,1955,945.52
Country_2,1956,957.43
Country_2,1957,999.7
Country_2,1958,1038.39
Country_2,1959,1067.16
Country_2,1960,1123.23
Country_2,1961,1155.47
Country_2,1962,1205.66
Country_2,1963,1233.23
Country_2,1964,1247.82
Country_2,1965,1280.39
Country_2,1966,1324.65
Country_2,1967,1395.24
Country_2,1968,1409.85
Country_2,1969,1439.46
Country_2,1970,1492.52
Country_2,1971,1527.49
Country_2,1972,1601.15
Country_2,1973,1637.47
Country_2,1974,1658.81
Country_2,1975,1690.17
Country_2,1976,1718.53
Country_2,1977,1760.1
Country_2,1978,1788.7
Country_2,1979,1838.23
Country_2,1980,1912.97
Country_2,1981,1995.41
Country_2,1982,2092.39
Country_2,1983,2117.02
Country_2,1984,2181.75
Country_2,1985,2231.01
Country_2,1986,2287.29
Country_2,1987,2303.67
Country_2,1988,2374.3
Country_2,1989,2443.61
Country_2,1990,2478.46
Country_2,1991,2546.53
Country_2,1992,2645.09
Country_2,1993,2766.13
Country_2,1994,2801.82
Country_2,1995,2890.29
Country_2,1996,2935.76
Country_2,1997,3015.02
Country_2,1998,3136.39
Country_2,1999,3190.48
Country_2,2000,3245.51
Country_2,2001,3361.06
Country_2,2002,3417.45
Country_2,2003,3464.66
Country_2,2004,3632.36
Country_2,2005,3787.66
Country_2,2006,3850.66
Country_2,2007,3943.73
Country_2,2008,4037.1
Country_2,2009,4079.95
Country_2,2010,4277.05
Country_2,2011,4408.43
Country_2,2012,4535.2
Country_2,2013,4633.1
Country_2,2014,4681.63
Country_2,2015,4919.89
Country_2,2016,5162.98
Country_2,2017,5316.69
Country_2,2018,5411.27
Country_2,2019,5671.39
Country_2,2020,5888.59
Country_2,2021,6068.67
Country_2,2022,6153.32
Country_2,2023,6357.72
Country_3,1900,368.48
Country_3,1901,367.38
Country_3,1902,378.72
Country_3,1903,367.03
Country_3,1904,373.89
Country_3,1905,374.8
Country_3,1906,375.2
Country_3,1907,380.35
Country_3,1908,370.84
Country_3,1909,375.16
Country_3,1910,371.56
Country_3,1911,365.24
Country_3,1912,376.46
Country_3,1913,373.76
Country_3,1914,375.38
Country_3,1915,365.48
Country_3,1916,371.76
Country_3,1917,373.56
Country_3,1918,370.29
Country_3,1919,370.06
Country_3,1920,376.35
Country_3,1921,370.66
Country_3,1922,375.93
Country_3,1923,379.24
Country_3,1924,372.12
Country_3,1925,380.99
Country_3,1926,369.13
Country_3,1927,371.54
Country_3,1928,375.22
Country_3,1929,371.54
Country_3,1930,374.99
Country_3,1931,374.3
Country_3,1932,367.53
Country_3,1933,368.9
Country_3,1934,368.98
Country_3,1935,375.51
Country_3,1936,371.3
Country_3,1937,369.25
Country_3,1938,377.81
Country_3,1939,375.08
Country_3,1940,371.37
Country_3,1941,372.58
Country_3,1942,368.31
Country_3,1943,372.26
Country_3,1944,373.67
Country_3,1945,375.81
Country_3,1946,374.07
Country_3,1947,374.48
Country_3,1948,369.79
Country_3,1949,377.44
Country_3,1950,394.69
Country_3,1951,400.91
Country_3,1952,419.98
Country_3,1953,430.33
Country_3,1954,442.79
Country_3,1955,464.94
Country_3,1956,474.3
Country_3,1957,484.83
Country_3,1958,510.92
Country_3,1959,524.97
Country_3,1960,541.23
Country_3,1961,537.4
Country_3,1962,559.31
Country_3,1963,595.12
Country_3,1964,601.45
Country_3,1965,614.97
Country_3,1966,639.33
Country_3,1967,679.51
Country_3,1968,697.76
Country_3,1969,720.71
Country_3,1970,755.43
Country_3,1971,778.06
Country_3,1972,810.34
Country_3,1973,838.8
Country_3,1974,866.54
Country_3,1975,911.42
Country_3,1976,941.5
Country_3,1977,963.95
Country_3,1978,994.06
Country_3,1979,1038.69
Country_3,1980,1076.83
Country_3,1981,1117.53
Country_3,1982,1153.73
Country_3,1983,1181.09
Country_3,1984,1220.72
Country_3,1985,1242.46
Country_3,1986,1291.51
Country_3,1987,1333.16
Country_3,1988,1359.41
Country_3,1989,1425.44
Country_3,1990,1471.77
Country_3,1991,1485.88
Country_3,1992,1498.62
Country_3,1993,1565.04
Country_3,1994,1619.66
Country_3,1995,1651.5
Country_3,1996,1700.86
Country_3,1997,1788.74
Country_3,1998,1844.35
Country_3,1999,1925.29
Country_3,2000,1951.09
Country_3,2001,2035.36
Country_3,2002,2090.4
Country_3,2003,2174.56
Country_3,2004,2259.22
Country_3,2005,2336.9
Country_3,2006,2397.12
Country_3,2007,2470.8
Country_3,2008,2587.72
Country_3,2009,2618.56
Country_3,2010,2683.14
Country_3,2011,2796.47
Country_3,2012,2874.81
Country_3,2013,2952.84
Country_3,2014,3095.97
Country_3,2015,3129.1
Country_3,2016,3216.59
Country_3,2017,3369.15
Country_3,2018,3529.56
Country_3,2019,3569.57
Country_3,2020,3704.14
Country_3,2021,3806.57
Country_3,2022,3920.51
Country_3,2023,4018.94
Country_4,1900,805.05
Country_4,1901,801.43
Country_4,1902,811.35
Country_4,1903,810.01
Country_4,1904,805.98
Country_4,1905,804.4
Country_4,1906,806.21
Country_4,1907,808.36
Country_4,1908,801.23
Country_4,1909,808.93
Country_4,1910,804.86
Country_4,1911,804.24
Country_4,1912,803.98
Country_4,1913,805.94
Country_4,1914,810.67
Country_4,1915,810.6
Country_4,1916,800.07
Country_4,1917,809.72
Country_4,1918,803.19
Country_4,1919,806.84
Country_4,1920,806.52
Country_4,1921,805.13
Country_4,1922,803.71
Country_4,1923,814.48
Country_4,1924,813.28
Country_4,1925,811.12
Country_4,1926,809.32
Country_4,1927,802.9
Country_4,1928,812.43
Country_4,1929,802.16
Country_4,1930,815.99
Country_4,1931,806.85
Country_4,1932,811.93
Country_4,1933,808.61
Country_4,1934,810.91
Country_4,1935,813.43
Country_4,1936,812.57
Country_4,1937,816.75
Country_4,1938,806.21
Country_4,1939,808.46
Country_4,1940,804.1
Country_4,1941,796.09
Country_4,1942,804.82
Country_4,1943,810.0
Country_4,1944,805.09
Country_4,1945,813.96
Country_4,1946,809.24
Country_4,1947,799.44
Country_4,1948,803.28
Country_4,1949,806.03
Country_4,1950,823.52
Country_4,1951,873.56
Country_4,1952,883.47
Country_4,1953,924.04
Country_4,1954,968.98
Country_4,1955,991.86
Country_4,1956,1009.06
Country_4,1957,1058.0
Country_4,1958,1101.88
Country_4,1959,1117.87
Country_4,1960,1169.38
Country_4,1961,1181.71
Country_4,1962,1229.71
Country_4,1963,1278.22
Country_4,1964,1295.39
Country_4,1965,1332.8
Country_4,1966,1355.92
Country_4,1967,1406.94
Country_4,1968,1462.13
Country_4,1969,1499.47
Country_4,1970,1520.02
Country_4,1971,1577.85
Country_4,1972,1611.23
Country_4,1973,1675.69
Country_4,1974,1700.39
Country_4,1975,1765.13
Country_4,1976,1828.68
Country_4,1977,1850.62
Country_4,1978,1889.65
Country_4,1979,1959.49
Country_4,1980,1986.25
Country_4,1981,2035.81
Country_4,1982,2064.9
Country_4,1983,2089.1
Country_4,1984,2165.01
Country_4,1985,2288.73
Country_4,1986,2307.68
Country_4,1987,2382.52
Country_4,1988,2489.18
Country_4,1989,2532.77
Country_4,1990,2563.44
Country_4,1991,2642.14
Country_4,1992,2755.94
Country_4,1993,2818.33
Country_4,1994,2921.46
Country_4,1995,3013.39
Country_4,1996,3100.96
Country_4,1997,3186.67
Country_4,1998,3254.37
Country_4,1999,3339.28
Country_4,2000,3395.96
Country_4,2001,3545.73
Country_4,2002,3610.98
Country_4,2003,3728.6
Country_4,2004,3917.56
Country_4,2005,3988.55
Country_4,2006,4047.2
Country_4,2007,4232.75
Country_4,2008,4307.02
Country_4,2009,4404.61
Country_4,2010,4527.32
Country_4,2011,4609.48
Country_4,2012,4666.27
Country_4,2013,4845.5
Country_4,2014,4972.13
Country_4,2015,5048.16
Country_4,2016,5234.52
Country_4,2017,5427.44
Country_4,2018,5549.17
Country_4,2019,5750.27
Country_4,2020,5953.75
Country_4,2021,6212.85
Country_4,2022,6528.73
Country_4,2023,6821.26
Country_5,1900,757.26
Country_5,1901,750.73
Country_5,1902,744.54
Country_5,1903,757.86
Country_5,1904,756.1
Country_5,1905,755.03
Country_5,1906,754.38
Country_5,1907,754.14
Country_5,1908,755.29
Country_5,1909,767.4
Country_5,1910,761.33
Country_5,1911,755.11
Country_5,1912,760.07
Country_5,1913,757.88
Country_5,1914,752.68
Country_5,1915,754.68
Country_5,1916,765.42
Country_5,1917,753.04
Country_5,1918,752.86
Country_5,1919,747.76
Country_5,1920,752.94
Country_5,1921,751.07
Country_5,1922,755.85
Country_5,1923,752.99
Country_5,1924,754.48
Country_5,1925,759.34
Country_5,1926,747.07
Country_5,1927,753.05
Country_5,1928,758.57
Country_5,1929,750.89
Country_5,1930,749.8
Country_5,1931,752.43
Country_5,1932,756.52
Country_5,1933,759.75
Country_5,1934,755.0
Country_5,1935,757.14
Country_5,1936,745.48
Country_5,1937,751.53
Country_5,1938,758.24
Country_5,1939,758.19
Country_5,1940,749.24
Country_5,1941,761.13
Country_5,1942,744.87
Country_5,1943,759.82
Country_5,1944,749.03
Country_5,1945,747.89
Country_5,1946,754.21
Country_5,1947,760.03
Country_5,1948,759.51
Country_5,1949,760.32
Country_5,1950,763.37
Country_5,1951,785.2
Country_5,1952,792.46
Country_5,1953,803.9
Country_5,1954,847.92
Country_5,1955,865.69
Country_5,1956,886.08
Country_5,1957,904.15
Country_5,1958,916.84
Country_5,1959,951.9
Country_5,1960,968.75
Country_5,1961,1025.37
Country_5,1962,1040.56
Country_5,1963,1061.87
Country_5,1964,1106.89
Country_5,1965,1136.02
Country_5,1966,1160.05
Country_5,1967,1206.92
Country_5,1968,1253.32
Country_5,1969,1298.12
Country_5,1970,1357.06
Country_5,1971,1369.65
Country_5,1972,1418.06
Country_5,1973,1475.0
Country_5,1974,1558.24
Country_5,1975,1617.6
Country_5,1976,1686.79
Country_5,1977,1708.96
Country_5,1978,1745.04
Country_5,1979,1820.88
Country_5,1980,1862.49
Country_5,1981,1889.54
Country_5,1982,1922.12
Country_5,1983,1969.02
Country_5,1984,2040.46
Country_5,1985,2064.05
Country_5,1986,2137.52
Country_5,1987,2167.94
Country_5,1988,2267.2
Country_5,1989,2306.53
Country_5,1990,2341.91
Country_5,1991,2373.59
Country_5,1992,2416.18
Country_5,1993,2468.25
Country_5,1994,2521.68
Country_5,1995,2594.06
Country_5,1996,2720.35
Country_5,1997,2814.36
Country_5,1998,2918.66
Country_5,1999,3037.08
Country_5,2000,3112.81
Country_5,2001,3158.47
Country_5,2002,3206.02
Country_5,2003,3269.07
Country_5,2004,3418.64
Country_5,2005,3472.19
Country_5,2006,3540.62
Country_5,2007,3711.51
Country_5,2008,3754.23
Country_5,2009,3791.2
Country_5,2010,3833.5
Country_5,2011,3953.47
Country_5,2012,4067.49
Country_5,2013,4239.55
Country_5,2014,4444.98
Country_5,2015,4486.28
Country_5,2016,4620.85
Country_5,2017,4830.35
Country_5,2018,4958.87
Country_5,2019,5156.83
Country_5,2020,5414.68
Country_5,2021,5508.06
Country_5,2022,5732.93
Country_5,2023,5890.67
Country_6,1900,350.13
Country_6,1901,345.95
Country_6,1902,337.15
Country_6,1903,345.23
Country_6,1904,344.29
Country_6,1905,352.86
Country_6,1906,343.05
Country_6,1907,347.5
Country_6,1908,346.14
Country_6,1909,345.29
Country_6,1910,354.21
Country_6,1911,338.73
Country_6,1912,352.61
Country_6,1913,345.19
Country_6,1914,349.6
Country_6,1915,346.52
Country_6,1916,355.69
Country_6,1917,341.95
Country_6,1918,341.95
Country_6,1919,342.19
Country_6,1920,341.77
Country_6,1921,349.66
Country_6,1922,345.26
Country_6,1923,348.62
Country_6,1924,355.07
Country_6,1925,345.71
Country_6,1926,344.25
Country_6,1927,352.75
Country_6,1928,338.93
Country_6,1929,343.09
Country_6,1930,347.38
Country_6,1931,339.84
Country_6,1932,336.3
Country_6,1933,344.78
Country_6,1934,341.81
Country_6,1935,339.76
Country_6,1936,348.52
Country_6,1937,341.8
Country_6,1938,342.87
Country_6,1939,343.93
Country_6,1940,353.89
Country_6,1941,341.15
Country_6,1942,347.28
Country_6,1943,337.68
Country_6,1944,343.27
Country_6,1945,360.74
Country_6,1946,347.86
Country_6,1947,354.17
Country_6,1948,348.52
Country_6,1949,342.11
Country_6,1950,358.57
Country_6,1951,364.26
Country_6,1952,375.34
Country_6,1953,388.53
Country_6,1954,407.65
Country_6,1955,416.64
Country_6,1956,416.05
Country_6,1957,443.34
Country_6,1958,454.08
Country_6,1959,459.17
Country_6,1960,479.51
Country_6,1961,500.79
Country_6,1962,504.92
Country_6,1963,525.67
Country_6,1964,539.28
Country_6,1965,559.03
Country_6,1966,584.68
Country_6,1967,599.39
Country_6,1968,592.91
Country_6,1969,624.54
Country_6,1970,638.77
Country_6,1971,657.46
Country_6,1972,674.49
Country_6,1973,687.1
Country_6,1974,714.07
Country_6,1975,745.37
Country_6,1976,764.83
Country_6,1977,802.36
Country_6,1978,834.81
Country_6,1979,863.04
Country_6,1980,895.74
Country_6,1981,919.74
Country_6,1982,931.5
Country_6,1983,943.85
Country_6,1984,993.55
Country_6,1985,1030.04
Country_6,1986,1053.37
Country_6,1987,1068.17
Country_6,1988,1086.39
Country_6,1989,1133.77
Country_6,1990,1179.24
Country_6,1991,1207.18
Country_6,1992,1247.7
Country_6,1993,1268.85
Country_6,1994,1311.38
Country_6,1995,1369.21
Country_6,1996,1389.18
Country_6,1997,1429.73
Country_6,1998,1496.72
Country_6,1999,1538.59
Country_6,2000,1588.06
Country_6,2001,1668.71
Country_6,2002,1704.85
Country_6,2003,1777.62
Country_6,2004,1804.99
Country_6,2005,1850.17
Country_6,2006,1897.82
Country_6,2007,1938.84
Country_6,2008,2000.22
Country_6,2009,2032.41
Country_6,2010,2120.74
Country_6,2011,2144.52
Country_6,2012,2227.73
Country_6,2013,2298.57
Country_6,2014,2393.3
Country_6,2015,2488.19
Country_6,2016,2593.09
Country_6,2017,2698.31
Country_6,2018,2818.1
Country_6,2019,2933.83
Country_6,2020,2973.19
Country_6,2021,3012.45
Country_6,2022,3086.12
Country_6,2023,3158.32
Country_7,1900,376.02
Country_7,1901,380.12
Country_7,1902,376.56
Country_7,1903,372.69
Country_7,1904,374.95
Country_7,1905,372.22
Country_7,1906,371.35
Country_7,1907,376.78
Country_7,1908,378.9
Country_7,1909,363.49
Country_7,1910,366.42
Country_7,1911,366.14
Country_7,1912,362.71
Country_7,1913,367.18
Country_7,1914,375.12
Country_7,1915,364.08
Country_7,1916,362.46
Country_7,1917,366.53
Country_7,1918,361.94
Country_7,1919,372.26
Country_7,1920,364.83
Country_7,1921,369.24
Country_7,1922,366.88
Country_7,1923,375.4
Country_7,1924,367.23
Country_7,1925,370.2
Country_7,1926,371.42
Country_7,1927,367.06
Country_7,1928,360.51
Country_7,1929,373.03
Country_7,1930,374.93
Country_7,1931,371.23
Country_7,1932,378.42
Country_7,1933,366.81
Country_7,1934,368.54
Country_7,1935,370.28
Country_7,1936,373.03
Country_7,1937,366.31
Country_7,1938,372.37
Country_7,1939,363.19
Country_7,1940,363.02
Country_7,1941,364.46
Country_7,1942,367.59
Country_7,1943,371.94
Country_7,1944,373.81
Country_7,1945,384.88
Country_7,1946,361.3
Country_7,1947,373.4
Country_7,1948,365.54
Country_7,1949,370.88
Country_7,1950,379.54
Country_7,1951,392.01
Country_7,1952,403.89
Country_7,1953,407.96
Country_7,1954,421.08
Country_7,1955,443.05
Country_7,1956,456.87
Country_7,1957,470.5
Country_7,1958,481.14
Country_7,1959,494.85
Country_7,1960,513.94
Country_7,1961,537.33
Country_7,1962,538.92
Country_7,1963,543.2
Country_7,1964,576.4
Country_7,1965,581.88
Country_7,1966,607.4
Country_7,1967,625.91
Country_7,1968,665.25
Country_7,1969,674.47
Country_7,1970,700.74
Country_7,1971,703.69
Country_7,1972,731.26
Country_7,1973,739.68
Country_7,1974,754.28
Country_7,1975,776.0
Country_7,1976,810.02
Country_7,1977,831.3
Country_7,1978,847.56
Country_7,1979,871.12
Country_7,1980,889.73
Country_7,1981,919.16
Country_7,1982,921.25
Country_7,1983,982.23
Country_7,1984,1008.8
Country_7,1985,1036.66
Country_7,1986,1043.59
Country_7,1987,1063.28
Country_7,1988,1085.95
Country_7,1989,1137.87
Country_7,1990,1157.05
Country_7,1991,1171.56
Country_7,1992,1189.88
Country_7,1993,1248.48
Country_7,1994,1297.88
Country_7,1995,1325.82
Country_7,1996,1364.14
Country_7,1997,1397.64
Country_7,1998,1467.21
Country_7,1999,1479.75
Country_7,2000,1556.9
Country_7,2001,1603.87
Country_7,2002,1651.06
Country_7,2003,1694.91
Country_7,2004,1727.22
Country_7,2005,1775.51
Country_7,2006,1853.28
Country_7,2007,1927.08
Country_7,2008,2006.28
Country_7,2009,2081.65
Country_7,2010,2191.21
Country_7,2011,2250.89
Country_7,2012,2349.46
Country_7,2013,2413.4
Country_7,2014,2488.96
Country_7,2015,2549.86
Country_7,2016,2594.45
Country_7,2017,2670.48
Country_7,2018,2726.09
Country_7,2019,2823.21
Country_7,2020,2897.45
Country_7,2021,3009.14
Country_7,2022,3054.02
Country_7,2023,3125.88
Country_8,1900,826.79
Country_8,1901,829.73
Country_8,1902,830.87
Country_8,1903,831.67
Country_8,1904,833.18
Country_8,1905,835.25
Country_8,1906,834.77
Country_8,1907,842.16
Country_8,1908,829.98
Country_8,1909,836.41
Country_8,1910,839.65
Country_8,1911,828.06
Country_8,1912,833.36
Country_8,1913,834.36
Country_8,1914,833.17
Country_8,1915,840.04
Country_8,1916,833.0
Country_8,1917,837.92
Country_8,1918,830.0
Country_8,1919,836.51
Country_8,1920,827.84
Country_8,1921,827.6
Country_8,1922,832.67
Country_8,1923,841.92
Country_8,1924,836.1
Country_8,1925,837.34
Country_8,1926,834.01
Country_8,1927,833.46
Country_8,1928,833.85
Country_8,1929,828.54
Country_8,1930,837.88
Country_8,1931,830.63
Country_8,1932,830.11
Country_8,1933,829.16
Country_8,1934,819.11
Country_8,1935,825.49
Country_8,1936,840.29
Country_8,1937,835.92
Country_8,1938,827.87
Country_8,1939,834.43
Country_8,1940,828.92
Country_8,1941,837.52
Country_8,1942,826.31
Country_8,1943,836.22
Country_8,1944,828.13
Country_8,1945,840.3
Country_8,1946,838.11
Country_8,1947,837.21
Country_8,1948,825.97
Country_8,1949,824.23
Country_8,1950,877.78
Country_8,1951,883.91
Country_8,1952,921.21
Country_8,1953,956.78
Country_8,1954,979.23
Country_8,1955,1002.82
Country_8,1956,1037.85
Country_8,1957,1055.82
Country_8,1958,1083.86
Country_8,1959,1099.19
Country_8,1960,1131.67
Country_8,1961,1148.41
Country_8,1962,1181.54
Country_8,1963,1209.44
Country_8,1964,1227.52
Country_8,1965,1290.45
Country_8,1966,1336.58
Country_8,1967,1378.74
Country_8,1968,1444.46
Country_8,1969,1464.3
Country_8,1970,1489.09
Country_8,1971,1497.61
Country_8,1972,1526.55
Country_8,1973,1560.71
Country_8,1974,1592.97
Country_8,1975,1619.0
Country_8,1976,1692.19
Country_8,1977,1749.39
Country_8,1978,1779.9
Country_8,1979,1855.86
Country_8,1980,1911.64
Country_8,1981,1965.39
Country_8,1982,2016.51
Country_8,1983,2028.77
Country_8,1984,2096.08
Country_8,1985,2134.75
Country_8,1986,2234.6
Country_8,1987,2319.28
Country_8,1988,2390.36
Country_8,1989,2497.31
Country_8,1990,2597.71
Country_8,1991,2707.46
Country_8,1992,2803.49
Country_8,1993,2886.24
Country_8,1994,3022.56
Country_8,1995,3169.17
Country_8,1996,3295.69
Country_8,1997,3446.6
Country_8,1998,3552.41
Country_8,1999,3651.0
Country_8,2000,3720.26
Country_8,2001,3844.18
Country_8,2002,3965.0
Country_8,2003,4055.03
Country_8,2004,4157.87
Country_8,2005,4218.2
Country_8,2006,4395.01
Country_8,2007,4445.55
Country_8,2008,4598.4
Country_8,2009,4817.82
Country_8,2010,4944.87
Country_8,2011,5176.48
Country_8,2012,5324.54
Country_8,2013,5491.45
Country_8,2014,5713.97
Country_8,2015,5920.16
Country_8,2016,6118.74
Country_8,2017,6336.46
Country_8,2018,6437.98
Country_8,2019,6606.77
Country_8,2020,6773.7
Country_8,2021,6861.77
Country_8,2022,7174.06
Country_8,2023,7259.1
Country_9,1900,298.21
Country_9,1901,291.55
Country_9,1902,291.04
Country_9,1903,295.0
Country_9,1904,292.03
Country_9,1905,293.78
Country_9,1906,289.59
Country_9,1907,290.05
Country_9,1908,294.13
Country_9,1909,288.1
Country_9,1910,293.84
Country_9,1911,298.03
Country_9,1912,297.41
Country_9,1913,291.26
Country_9,1914,297.4
Country_9,1915,292.47
Country_9,1916,303.45
Country_9,1917,294.01
Country_9,1918,290.71
Country_9,1919,289.82
Country_9,1920,302.64
Country_9,1921,298.78
Country_9,1922,299.9
Country_9,1923,308.82
Country_9,1924,305.66
Country_9,1925,297.21
Country_9,1926,301.58
Country_9,1927,294.81
Country_9,1928,300.88
Country_9,1929,284.06
Country_9,1930,301.29
Country_9,1931,298.57
Country_9,1932,297.33
Country_9,1933,292.66
Country_9,1934,299.23
Country_9,1935,305.93
Country_9,1936,289.17
Country_9,1937,288.8
Country_9,1938,296.08
Country_9,1939,300.38
Country_9,1940,299.86
Country_9,1941,298.87
Country_9,1942,296.61
Country_9,1943,300.41
Country_9,1944,292.58
Country_9,1945,297.55
Country_9,1946,300.41
Country_9,1947,298.7
Country_9,1948,299.27
Country_9,1949,289.31
Country_9,1950,303.06
Country_9,1951,309.58
Country_9,1952,322.61
Country_9,1953,337.82
Country_9,1954,335.22
Country_9,1955,349.01
Country_9,1956,372.34
Country_9,1957,383.87
Country_9,1958,400.45
Country_9,1959,412.84
Country_9,1960,435.33
Country_9,1961,452.51
Country_9,1962,462.99
Country_9,1963,474.76
Country_9,1964,489.65
Country_9,1965,510.1
Country_9,1966,527.55
Country_9,1967,532.78
Country_9,1968,552.97
Country_9,1969,564.7
Country_9,1970,578.31
Country_9,1971,608.34
Country_9,1972,615.25
Country_9,1973,621.12
Country_9,1974,672.28
Country_9,1975,679.5
Country_9,1976,695.21
Country_9,1977,722.35
Country_9,1978,735.65
Country_9,1979,762.88
Country_9,1980,767.56
Country_9,1981,792.96
Country_9,1982,818.24
Country_9,1983,822.01
Country_9,1984,851.44
Country_9,1985,903.12
Country_9,1986,938.76
Country_9,1987,970.82
Country_9,1988,993.06
Country_9,1989,997.17
Country_9,1990,1010.14
Country_9,1991,1058.74
Country_9,1992,1088.84
Country_9,1993,1101.79
Country_9,1994,1147.76
Country_9,1995,1164.01
Country_9,1996,1220.51
Country_9,1997,1246.89
Country_9,1998,1268.03
Country_9,1999,1315.92
Country_9,2000,1342.99
Country_9,2001,1353.93
Country_9,2002,1376.88
Country_9,2003,1448.13
Country_9,2004,1475.2
Country_9,2005,1502.38
Country_9,2006,1548.27
Country_9,2007,1594.28
Country_9,2008,1628.33
Country_9,2009,1667.35
Country_9,2010,1708.42
Country_9,2011,1724.36
Country_9,2012,1744.07
Country_9,2013,1777.89
Country_9,2014,1861.43
Country_9,2015,1945.39
Country_9,2016,2011.84
Country_9,2017,2045.42
Country_9,2018,2091.81
Country_9,2019,2121.83
Country_9,2020,2162.58
Country_9,2021,2261.35
Country_9,2022,2321.05
Country_9,2023,2378.18
Country_10,1900,365.4
Country_10,1901,362.61
Country_10,1902,371.33
Country_10,1903,356.22
Country_10,1904,356.18
Country_10,1905,359.03
Country_10,1906,362.82
Country_10,1907,362.96
